Parameter Estimation Task

Problem Description:
Subtask: 
Time-Course Task

Problem Description:
    StepNumber: 100
    StepSize: 0.1
    Duration: 10
    TimeSeriesRequested: 1
    OutputStartTime: 0
    Output Event: 0
    Continue on Simultaneous Events: 0

Method: Deterministic (LSODA)
    Integrate Reduced Model: 0
    Relative Tolerance: 1e-006
    Absolute Tolerance: 1e-012
    Max Internal Steps: 10000


List of Fitting Items:
    1e-06 <= (reaction_1).Km <= 1e+06; Start Value = 27.5004
    Affected Experiments:
      all    Affected Validation Experiments:
      all
    1e-06 <= (reaction_1).V <= 1e+06; Start Value = 5.40025e-006
    Affected Experiments:
      all    Affected Validation Experiments:
      all

Method: Hooke & Jeeves
    Iteration Limit: 50
    Tolerance: 1e-005
    Rho: 0.2

[Function Evaluations]	[Best Value]	[Best Parameters]
320	832.946	(	0.000353005	1.97495e-005	)
323	832.015	(	0.000353005	1.97561e-005	)
326	831.076	(	0.000353005	1.97628e-005	)
329	830.127	(	0.000353005	1.97695e-005	)
332	829.17	(	0.000353005	1.97762e-005	)
335	828.204	(	0.000353005	1.97831e-005	)
338	827.229	(	0.000353005	1.979e-005	)
341	826.245	(	0.000353005	1.9797e-005	)
344	825.252	(	0.000353005	1.9804e-005	)
347	824.251	(	0.000353005	1.98111e-005	)
350	823.24	(	0.000353005	1.98183e-005	)
353	822.221	(	0.000353005	1.98256e-005	)
356	821.194	(	0.000353005	1.98329e-005	)
359	820.158	(	0.000353005	1.98403e-005	)
362	819.113	(	0.000353005	1.98478e-005	)
365	818.059	(	0.000353005	1.98553e-005	)
368	816.997	(	0.000353005	1.98629e-005	)
371	815.926	(	0.000353005	1.98706e-005	)
374	814.847	(	0.000353005	1.98783e-005	)
377	813.759	(	0.000353005	1.98861e-005	)
380	812.663	(	0.000353005	1.9894e-005	)
383	811.558	(	0.000353005	1.9902e-005	)
386	810.445	(	0.000353005	1.991e-005	)
389	809.324	(	0.000353005	1.99181e-005	)
392	808.194	(	0.000353005	1.99262e-005	)
395	807.056	(	0.000353005	1.99345e-005	)
398	805.91	(	0.000353005	1.99427e-005	)
401	804.755	(	0.000353005	1.99511e-005	)
404	803.593	(	0.000353005	1.99595e-005	)
407	802.422	(	0.000353005	1.9968e-005	)
410	801.242	(	0.000353005	1.99766e-005	)
413	800.055	(	0.000353005	1.99853e-005	)
416	798.86	(	0.000353005	1.9994e-005	)
419	797.657	(	0.000353005	2.00027e-005	)
422	796.445	(	0.000353005	2.00116e-005	)
425	795.226	(	0.000353005	2.00205e-005	)
428	793.998	(	0.000353005	2.00295e-005	)
431	792.763	(	0.000353005	2.00386e-005	)
434	791.52	(	0.000353005	2.00477e-005	)
437	790.269	(	0.000353005	2.00569e-005	)
440	789.01	(	0.000353005	2.00661e-005	)
443	787.743	(	0.000353005	2.00755e-005	)
446	786.469	(	0.000353005	2.00849e-005	)
449	785.187	(	0.000353005	2.00943e-005	)
452	783.897	(	0.000353005	2.01039e-005	)
455	782.6	(	0.000353005	2.01135e-005	)
458	781.295	(	0.000353005	2.01232e-005	)
461	779.982	(	0.000353005	2.01329e-005	)
464	778.662	(	0.000353005	2.01427e-005	)
467	777.334	(	0.000353005	2.01526e-005	)
470	775.999	(	0.000353005	2.01626e-005	)
473	774.657	(	0.000353005	2.01726e-005	)
476	773.307	(	0.000353005	2.01827e-005	)
479	771.949	(	0.000353005	2.01928e-005	)
482	770.585	(	0.000353005	2.02031e-005	)
485	769.213	(	0.000353005	2.02134e-005	)
488	767.834	(	0.000353005	2.02237e-005	)
491	766.447	(	0.000353005	2.02342e-005	)
494	765.054	(	0.000353005	2.02447e-005	)
497	763.653	(	0.000353005	2.02553e-005	)
500	762.245	(	0.000353005	2.02659e-005	)
503	760.83	(	0.000353005	2.02766e-005	)
506	759.409	(	0.000353005	2.02874e-005	)
509	757.98	(	0.000353005	2.02982e-005	)
512	756.544	(	0.000353005	2.03092e-005	)
