Time	(reaction_1).k1	(reaction_2).k1	(reaction_2).k2	A.ParticleNumber	B.ParticleNumber	C.ParticleNumber
0	50	19.221	1.216	1.61559e-027	11.5995	183.35
0	50	19.221	1.444	8.07794e-028	13.6224	181.328
0	50	19.221	1.672	-1.61559e-027	15.6012	179.349
0	50	19.221	1.9	0	17.5373	177.413
0	50	19.221	2.128	8.07794e-028	19.432	175.518
0	50	19.221	2.356	0	21.2867	173.663
0	50	19.221	2.584	-8.07794e-028	23.1025	171.847
0	50	19.221	2.812	-1.61559e-027	24.8808	170.069
0	50	19.221	3.04	8.07794e-028	26.6227	168.327


0	65	4.80525	0.76	3.23117e-027	26.6227	168.327
0	65	4.80525	0.988	3.23117e-027	33.2474	161.703
0	65	4.80525	1.216	0	39.3704	155.58
0	65	4.80525	1.444	-3.23117e-027	45.0467	149.903
0	65	4.80525	1.672	3.23117e-027	50.3233	144.627
0	65	4.80525	1.9	3.23117e-027	55.241	139.709
0	65	4.80525	2.128	-3.23117e-027	59.8354	135.115
0	65	4.80525	2.356	-3.23117e-027	64.1372	130.813
0	65	4.80525	2.584	0	68.1735	126.777
0	65	4.80525	2.812	0	71.9682	122.982
0	65	4.80525	3.04	0	75.5423	119.408

0	65	6.24682	0.76	3.23117e-027	21.1454	173.805
0	65	6.24682	0.988	3.23117e-027	26.6227	168.327
0	65	6.24682	1.216	3.23117e-027	31.7653	163.185
0	65	6.24682	1.444	3.23117e-027	36.6031	158.347
0	65	6.24682	1.672	-3.23117e-027	41.1622	153.788
0	65	6.24682	1.9	0	45.4662	149.484
0	65	6.24682	2.128	0	49.5358	145.414
0	65	6.24682	2.356	0	53.3897	141.56
0	65	6.24682	2.584	0	57.0446	137.905
0	65	6.24682	2.812	3.23117e-027	60.5155	134.434
0	65	6.24682	3.04	3.23117e-027	63.816	131.134

0	65	7.6884	0.76	0	17.5373	177.413
0	65	7.6884	0.988	-3.23117e-027	22.1994	172.751
0	65	7.6884	1.216	-3.23117e-027	26.6227	168.327
0	65	7.6884	1.444	0	30.8252	164.125
0	65	7.6884	1.672	0	34.8229	160.127
0	65	7.6884	1.9	0	38.6305	156.319
0	65	7.6884	2.128	0	42.2613	152.689
0	65	7.6884	2.356	6.46235e-027	45.7272	149.223
0	65	7.6884	2.584	0	49.0393	145.911
0	65	7.6884	2.812	3.23117e-027	52.2075	142.743
0	65	7.6884	3.04	-6.46235e-027	55.241	139.709

0	65	9.12997	0.76	0	14.981	179.969
0	65	9.12997	0.988	-6.46235e-027	19.0365	175.914
0	65	9.12997	1.216	3.23117e-027	22.9132	172.037
0	65	9.12997	1.444	3.23117e-027	26.6227	168.327
0	65	9.12997	1.672	0	30.1756	164.774
0	65	9.12997	1.9	0	33.5817	161.368
0	65	9.12997	2.128	-3.23117e-027	36.8498	158.1
0	65	9.12997	2.356	-3.23117e-027	39.9881	154.962
0	65	9.12997	2.584	0	43.0043	151.946
0	65	9.12997	2.812	0	45.9053	149.045
0	65	9.12997	3.04	-3.23117e-027	48.6976	146.252

0	65	10.5715	0.76	-3.23117e-027	13.0752	181.875
0	65	10.5715	0.988	0	16.6625	178.288
0	65	10.5715	1.216	-3.23117e-027	20.111	174.839
0	65	10.5715	1.444	0	23.4286	171.521
0	65	10.5715	1.672	3.23117e-027	26.6227	168.327
0	65	10.5715	1.9	3.23117e-027	29.7	165.25
0	65	10.5715	2.128	0	32.6668	162.283
0	65	10.5715	2.356	0	35.5289	159.421
0	65	10.5715	2.584	0	38.2919	156.658
0	65	10.5715	2.812	-3.23117e-027	40.9607	153.989
