Positive feedback[Time]	x[Concentration]	y[Concentration]
0	0.6	0.5
1	0.566682	0.54636
2	0.574112	0.561354
3	0.587615	0.574242
4	0.603248	0.58836
5	0.620345	0.603996
6	0.638493	0.620964
7	0.6572	0.638912
8	0.675911	0.657372
9	0.694061	0.675811
10	0.711147	0.693699
11	0.726787	0.710565
12	0.740739	0.726044
13	0.752906	0.739902
14	0.763309	0.752038
15	0.772057	0.762463
16	0.779313	0.771269
17	0.785263	0.778605
18	0.790097	0.784645
19	0.793996	0.78957
20	0.797122	0.793554
